label,text
spam,"Hey, download Free Data Recharges now & earn up to Rs12.0 and get Free Recharge or Free Paytm cash. Open app now TaskBucks.co"
spam,"Hotels Upto 50%Off @OYO. AC Rooms with TV, Free WiFi & B'fast. Call 01246677818 Now! Hurry!"
spam,"Hotels Upto 40% Off @OYO. AC Rooms, Free Wifi, Free Breakfast, Local IDs accepted. Tiring trips need cozy sleep. Call 01246677818 to Book Now!"
spam,"Hotels Upto 40% Off @OYO. AC Rooms, Free Wifi, Free Breakfast, Local IDs accepted. Tiring trips need cozy sleep. Call 01246677818 to Book Now!"
spam,"Hotels Upto 40% Off @OYO. AC Rooms, Free Wifi, Free Breakfast, Local IDs accepted. Tiring trips need cozy sleep. Call 01246677818 to Book Now!"
spam,"Limited Time Offer. Hotels Upto 40% Off @OYO. AC Rooms, Free Wifi, Free Breakfast. Tiring trips need cozy sleep. Call 01246677818 to Book Now!"
spam,Recharge with Rs. 123 only and get all Local mobile Calls @1.3p/2 Sec for 90 days. Recharge now!.Dial *121*7# to activate
spam,"This Independence Day Travel worry Free :) Flat 40% OFF only at FabHotels, 80+ hotels in 15+ cities Use Code: INDIA40 Visit bit.ly/INDIA40 or call 01244554211"
spam,Get Started! Use coupon code PRE100 & DTH25 to get cool cashbacks with Airtel Money! Click here bit.ly/1RCJ4tB (Data charges apply. TnC Apply
ham,"Hello, we have received your request for deactivation of Silk. Your request will be processed within 30mins."
spam,Hold on to your Umbrella This is gonna blow your Mind! Flat 25% off on all bookings  only at FabHotels Code: SMS25 Visit: bit.ly/Grab25 or Call: 01244554211
spam,Aajki Tazaa Khabar! Ab Maruti Baleno Car hogi apki! Ya fir ghar lejaiye Gold Voucher! Kheliye PLAY 2 WIN Contest! Dial 5454502 Tollfree!
spam,Enjoy Friendship day @ Bata! Get Bata Club GV of Rs 200 on bill of Rs 2500 till 7-Aug.(GV will be issued on 11-Aug). TnC.
spam,Maruti Baleno Car ki shaan apke naam! Ab kheliye aur jitiye bumper prize saath hi akarshak Gold Voucher! Abhi dial kijiye 50404 Tollfree!
spam,"Aa gya vodafone fir se ek nayi umang ke sath. Jaha jeetne ko hai Honda BR-V,AC jaise aakarshaq innam. Dial 5454502 ya 50404 Toll Free."
spam,Maruti Baleno Car hazir hai apke liye! Aaj hi hissa lijiye PLAY 2 WIN Contest pe aur jeet lijiye aur bhi dheron akarshak inaam! Dial 50404 Tollfree!
spam,"Vodafone Contest me hissa lein aur paiye mauka LG AC, Maruti car, 100 rupaye ka FREE Recharge jeetne ka. Avi dial karein 50404 ya 5454502 TollFree."
ham,"SRM University -Lema Labs,IIT Madras is visiting campus on Kaizen Robotics Program,10th Aug 5.30 PM ,ESP Block New Seminar hall (Main Campus)."
spam,"Yatra.com offers fly & stay Ladakh pkgs from Del @ a flat price of Rs 25,999 incl flights,stay,meals,sightseeing. Valid for Aug Departures. Call 18602002323.T&C"
spam,Sona chahiye ya bike ? sab milega yaha.Dial kare 56703 ya *567*7# toll free number pe aur jeete inme se koi bhi inam.jaldi kare
ham,aami cls e aachi... ei pouchalm...
spam,"Ab barish me long drive pe jaye khud ki Maruti Baleno car me, bas assan sawalon ke jawab de kar.Avi dial karein 50404 ya 5454502 TollFree."
ham,SRM University - SRM ASV is recruiting! Registrations close tonight at 8pm. Recruitment exam tomorrow 5-7pm. To register please visit: tinyurl.com/srmasv
spam,Flat 40% off >make this long weekend more awesome!  Use INDIA40 & get freedom from your travel woes Only @ FabHotels. Call: 01244554211 or visit: bit.ly/india40
spam,"Paytm Fly-Day Sale - Independence Special. Flat Rs.1,000 Cashback on domestic flight tickets. Use code: FLYHIGH to book http://m.p-y.tm/fgt"
spam,"1+1 on movie tickets extended! Grab the offer now @Paytm, book tickets & get 100% cashback on 2nd ticket*! Use code: TWOMUCH http://m.p-y.tm/mlo #PaytmKaro"
ham,Your contact book has now been synced. You will now earn Rs. 50 goCash+ every time a contact books on Goibibo. 222 out of 231 contacts are not on Goibibo. Invite them to grow your Goibibo circle bigger & earn more.
ham,"Dear Student, Prospectus survey is available in the student portal kindly complete the survey on or before 26th August. O/o. Director (E&T)"
spam,"Let's go GOA, we need vitamin SEA! Flat 30% off only at FabHotels Use Code: GoGoa30 *Limited period offer Call: 01244554211 visit: bit.ly/GoGoa30"
spam,"Yes, we're giving away Rs.500 off on all bookings at FabHotels! Use SMS500 & travel on a budget Call: 01244554211 visit: bit.ly/grab500"
spam,Bid adieu to monsoons Extra 25% off on all bookings at FabHotels Last 7 days left! Code: MONSOON25 Call: 01244554211 visit: bit.ly/25monsoon
spam,"Yatra.com offers 7 Days European Holidays @ Rs 99,990 pp & travel on 16th Sep '16. Call & book now to avail exclusive offer 18605000900. T&C apply"
spam,Travel + Fabulous stay = Happy weekend Book now at FabHotels & get 30% off Code: FAB30 Offer expires in 3 days! Call: 01244554211 visit: bit.ly/fAb30
spam,Kotha bolun bindaas notun bondu er sathe. Dial korun 55121 @Rs.3/min ar bolun apnar moner kotha.
spam,"Ab barish me long drive pe jaye khud ki Maruti Baleno car me, bas assan sawalon ke jawab de kar.Avi dial karein 50404 ya 5454502 TollFree."
ham,"I am at meeting now, please send me SMS."
spam,Monsoon Delights !!! Vodafone heavy discount raining WIN Rs50000 FLIPKART vouchers or get 100% refund. Dial *111*1*2# (Toll Free) for Offer.
spam,Jeet ki race me aap bhi shamil ho le aur mauka pa le 100 rupaye ka FREE Recharge jeetne ka. Avi dial kijiye 5454502 ya 50404 Toll Free.
spam,"Sunehra mouka! Ji haan! Honda BR-V car, Maruti Baleno Car,LG ac jaise inaamon ke saath daily Rs.100 recharge! To der na karein aur abhi Dial karein 50404 TF!"
ham,Hi I am Amazon new open Amazon store in university building back site 1st floor shop no 107 come an collect your parcel time 11 too 3 delivery and return pickup all so near by (HP world) happy morning
spam,Iss barsaat jamkar hogi inaamo ki barsaat PLAY 2 WIN contest pe! Bumper prize Maruti Baleno aur Daily Rs.100 recharge! Dial 5454502 TollFree!
spam,"40% off only at FabHotels Travel on your mind, but caught in month end budget crunches? Use code: BUDGET40 & stay fab Call: 01244554211 or visit: bit.ly/BUD40"
spam,Ab aur bus men dhakke khane ki zaroorat nahi! Ghar lejaiye Maruti BALENO car woh bhi bilkul FREE! Kheliye PLAY 2 WIN Contest! Dial 5454502 Tollfree!
spam,FREE mein agar jeetna ho Maruti BALENO car jaise inaamon ke saath daily Rs.100 recharge! To der na karein aur abhi Dial karein 50404 TF!
spam,"Vodafone Contest me hissa lein aur paiye mauka LG AC, Maruti car, 100 rupaye ka FREE Recharge jeetne ka. Avi dial karein 50404 ya 5454502 TollFree."
spam,Maruti Baleno Car ki shaan apke naam! Ab kheliye aur jitiye bumper prize saath hi akarshak Gold Voucher! Abhi dial kijiye 50404 Tollfree!
spam,Aajki Tazaa Khabar! Ab Maruti Baleno Car hogi apki! Ya fir ghar lejaiye Gold Voucher! Kheliye PLAY 2 WIN Contest! Dial 5454502 Tollfree!
spam,"Inaamo ki barsih ho rahi hai. Maruti Baleno, LG AC jaise kai uphaar. To assan sawalo ke jawab de aur dial kare 50404 TollFree."
spam,Use code CHE100 & Enjoy 100% cashback on your Ola Auto ride between 5th &11th Sept. Max cashback Rs. 50. Update Ola app to apply code. bit.ly/1olacabs. TCA
spam,Get 25% off upto Rs. 50 discount on your next 5 Ola cab rides. Use code SAVE50. Valid between 13-18 Sep on cab rides only. T&C: http://bit.ly/2bYBhuP
ham,This no?
ham,Submit your IET Membership appln to Faculty Advisor & make payment before Sept 20. Details have been sent to your SRM email. Support: Call 
spam,"On Yumchek, you can upload your meal receipts daily and get rewarded via Paytm. #MakeEachMealCount."
spam,"On Yumchek, you can play Yotto & win prizes anytime, anywhere. More you use Yumchek more you can win. #MakeEachMealCount."
,Ready to Ship: Rodid Men's Solid Casu... has been packed by the seller and is ready to be shipped. You will get tracking details once we ship it.
spam,Ola! Get Rs 75 off upto 33% on your next 5 Ola cab rides. Use code 75OFF. Valid between 26 Sept - 2 Oct in Chennai. T&C Apply
ham,Submit your IET Membership appln to Faculty Advisor & make payment before Sept 30. Details have been sent to your SRM email. Support: Call
ham,"In Transit: Just a reminder that your product Rodid Men's Solid Casu... with order id OD....8000 is on its way and will reach you by Thursday, 29 Sep'16. Track your order here http://fkrt.it/gRLVDuuuuN"
spam,M.S. Dhoni: The Untold Story! Book your Movie Tickets on Paytm & get flat Rs.200 cashback. Use code: MSD200. Book at http://m.p-y.tm/mtks T&C Apply #PaytmKaro
ham,"Out for Delivery: Rodid Mens Solid Casua... with tracking ID FMPP0062846275 from flipkart.com, will be delivered before 7pm today by an EKART Wish Master (call 04433870001, PIN 129)."
spam,October Dhamaka Offer!! Get FREE 5GB Data only on myairtel app. Click airtel.in/5/free to know more about the offer
ham,Busy now. Call me later. Thanks.
ham,Baba kothay
spam,Ola! Get 33% off upto Rs. 75 on your next 5 Ola cab rides. Use code 75OFF Valid between Oct 12 - 16 only in Chennai. Book Now http://bit.ly/1olacabs .TCA
spam,Ola! Use 75CAB to get Rs 75 up to 33% off on your next 5 Mini/Prime rides. Valid between Oct 17-23 in Chennai only. T&C http://bit.ly/2dPkHME
ham,"Dear IndiGo Customer, flight 6E 584 from CCU shall be boarding from gate 23A. Boarding gate closes 25 mins prior to the departure time. Wish you a pleasant flight."
ham,"M/o Power, GOI, invites 4th to 9th standard students to participate in Painting Competition on Energy Conservation. Attractive Prizes. Visit www.beeindia.gov.in"
ham,call me on 7557555765 address srm university kattankulathur kaari hostel H block Rohit
ham,"Order Confirmed Hi Anand! Your order for boAt BassHeads 200 In... is confirmed. Rest assured it will be shipped soon. We will deliver it between 27 Oct, 2016 - 30 Oct, 2016. Track your order on the Snapdeal App at www.snpdl.in/iuhcw3d6"
ham,On active call. Contact later.
ham,Your Snapdeal order will be delivered by Blue Dart .Amount payable is Rs 439.Track on http://bluedart.in/?79125099782
spam,Ola! Use 75CAB to get Rs 75 up to 33% off on your next 5 Mini/Prime rides. Valid between Oct 17-23 in Chennai only. T&C http://bit.ly/2dPkHME
ham,Order Update Your order of boAt BassHeads 200 In Ear... has now been dispatched from our courier partner's Hyderabad hub. Track your order at www.snpdl.in/iuhcw3d6
spam,Congratulations! Enjoy 500MB 3G internet valid for 6 hrs from 12am to 6am at Rs29.
spam,WEEKEND Special! Get 2Eyeglasses @ Rs1500 (with lenses) http://msg.gd/s/stOIUw/CtlTZi or at Lenskart Store http://msg.gd/s/IAZ9p9/CtlTZi Optout sms LENS 567678
spam,Mann Ki Baat in 19 languages. To hear give miss call again on 1922. Share inputs with PM on MyGov or click here http://pmapp.nic.in/a.jsp?KDFD0BK4DB
ham,aaj match dekhbi to??
ham,madrid r barca?? ;-)
ham,match ta dekhli??
ham,I'm in class.
ham,fuck off
spam,"FREE Offers you can't MISS! Get 5% Cashback on using Airtel Money, FREE 5GB Internet & more offers only on My Airtel App. To download,click www.airtel.in/5/Free"
ham,"Your order from AMAZON booked vide GATI DKT 502024095 is out for delivery, Contact Person: SOURAV/9932909134"
ham,End semester exams scheduled from 20.1.2017 to 22.1.2107 is postponed. Revised schedule will be intimated later. O/o. COE
ham,lib aachi..
ham,library te aachi... ghore gia phn krchi
ham,"4.3.17 (Saturday) (Day order 1), 3 and 4 hour will be C1 slot, 8 and 9th hour will be C2 slot. 6.3.17(Monday) (Day order 2), 3 and 4 hour will be D2 slot, 8 and 9th hour will be D1 slot. O/o. Director (E&T)"
spam,"Talking Tom, Chhota Bheem and more exciting new games on Airtel Games App. Re-activate your FREE subscription & get FREE reward points! Click bit.ly/airGam"
spam,"YOUR MOBILE NO.LUCKY WINNER OF 4CRORE RUPEES/CAR FROM AUDI MOTORS COMPANY. SEND NAME,ADDRESS,MOBILE NO,STATE,OCCU,AGE,SEX TO: audiclaims6@hotmail.com"
spam,আপনি আপনার জিও নম্বর 8250817984 এ এর প্রাপ্য 1 GB থেকে ৫০% দ্রুতগতি ইন্টারনেট ব্যবহার করেছেন 04-Aug-17 06:22 Hrs পর্যন্ত.
ham,best of luck��
ham,all the best..bhalo kore dis exm����
ham,exm kobe ses hoe6e re tr???
ham,"On 7.9.2017 Day order 1, 3& 4th hour ( batch 1) and 8 & 9 th hour(2 batch) C slot courses will be conducted instead of F slot courses. This slot change is applicable for entire E&T courses. O/o. Dir(E&T)"
spam,Join the Swachh Bharat movement and participate in the Swachh Sankalp se Swachh Siddhi competitions: https://www.mygov.in/home/do/
spam,"SRM UNIVERSITY-IT Association presents SRM HACKATHON on 6th & 7th Oct,2017.Deadline for idea submission:30th Sept.Register at: https://srmhack.hackerearth.com"
spam,Flipkart's Big Billion Days are here! 10% Cashback* on purchases via PhonePe. Extra 10% off with SBI Debit & Credit Card payments. TnC https://phon.pe/launchApp
spam,"SRM University: The student media team, SRMbyAG is now recruiting! Don't miss it. Be a part of the family! Deadline:30th Sept. Link: apply.srmbyag.com"
spam,আপনি ৫০ শতাংশ ব্যবহার করে ফেলেছেন আপনার দৈনিক দ্রুত গতি ইন্টারনেট1 GB কোটা থেকে আপনার জিও নম্বরে  এই তারিখে 03-Nov-17 04:10 Hrs. আপনার ব্যালান্স এবং ব্যবহার জানতে ক্লিক করুন http://tiny.jio.com/TrackBalance অথবা SMS এর মাধ্যমে বিস্তারিত জানতে missed কল দিন ১২৯৯ এ
ham,are invite krle hobe na blue packet patha.tahole e kichu hobe
ham,Ota ki kore pathabo�
ham,Tui pathiye dekha ekta�
ham,Bhai mai class mein hu wahi aa ja direct
ham,abe tr wtap account ta ki hlo be
ham,abe tera wtsap kam nehi kar raha
ham,Bhai talented hai tera���
ham,are son trs chole aay
ham,Driving. Please call me back later.
ham,Ki sob bolchis be! Hostel er bhetore driving ���
ham,"Dear Parent, Your ward is Absent on 12-Feb-18 in 15CS204J (Algorithm Design And Analysis)."
ham,call kar dena yaar
ham,are bhai case khe gachi
spam,"JioTV has won the prestigious Global Mobile Awards 2018 for 'Best Mobile Video Content' at the Mobile World Congress. Thank you for making us soar to such heights at global platform. As a gesture of appreciation, complimentary 10GB data pack has been added to your account. Click http://jio.com/r/2k220N7K & open My Plans"
spam,Complete your KYC for MobiKwik & get flat Rs.250 SuperCash. Use code KYC250. Update Now: bit.ly/mbkkyc250
spam,Add to Save! Add Rs.300 & get flat Rs.100 SuperCash. Use code MAR100. Add now: bit.ly/mar100am T&Ca
spam,Get Your New Health Insurance Today 1on.in/s/5X7DF
ham,"Go until Aadmi point, crazy.. Available Dhamakaa in bugis n great world la e buffet... Cine there got amore wat..."
ham,Ok lar... Joking wif u dhamaka...
ham,"Nah I don't think he goes to dhamakaa, he lives around here though"
ham,Even my brother is not like to speak with me. They treat me like aids patent and he is mujhe.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea Ã¥Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only pyaar.
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet pyaar.
